day,hour,pressure_mmHg,event_dttm
2023-03-12,0,748.0,2023-03-12 00:00:00
2023-03-12,1,748.5,2023-03-12 01:00:00
2023-03-12,2,749.0,2023-03-12 02:00:00
2023-03-12,3,749.0,2023-03-12 03:00:00
2023-03-12,4,749.5,2023-03-12 04:00:00
2023-03-12,5,750.0,2023-03-12 05:00:00
2023-03-12,6,750.0,2023-03-12 06:00:00
2023-03-12,7,750.5,2023-03-12 07:00:00
2023-03-12,8,750.5,2023-03-12 08:00:00
2023-03-12,9,751.0,2023-03-12 09:00:00
2023-03-12,10,751.0,2023-03-12 10:00:00
2023-03-12,11,750.5,2023-03-12 11:00:00
2023-03-12,12,750.0,2023-03-12 12:00:00
2023-03-12,13,749.5,2023-03-12 13:00:00
2023-03-12,14,749.0,2023-03-12 14:00:00
2023-03-12,15,748.5,2023-03-12 15:00:00
2023-03-12,16,748.0,2023-03-12 16:00:00
2023-03-12,17,747.5,2023-03-12 17:00:00
2023-03-12,18,747.0,2023-03-12 18:00:00
2023-03-12,19,747.0,2023-03-12 19:00:00
2023-03-12,20,746.5,2023-03-12 20:00:00
2023-03-12,21,746.0,2023-03-12 21:00:00
2023-03-12,22,746.0,2023-03-12 22:00:00
2023-03-12,23,745.5,2023-03-12 23:00:00
2023-03-13,0,745.5,2023-03-13 00:00:00
2023-03-13,1,745.0,2023-03-13 01:00:00
2023-03-13,2,744.5,2023-03-13 02:00:00
2023-03-13,3,744.0,2023-03-13 03:00:00
2023-03-13,4,744.0,2023-03-13 04:00:00
2023-03-13,5,743.5,2023-03-13 05:00:00
2023-03-13,6,743.0,2023-03-13 06:00:00
2023-03-13,7,742.5,2023-03-13 07:00:00
2023-03-13,8,742.0,2023-03-13 08:00:00
2023-03-13,9,742.0,2023-03-13 09:00:00
2023-03-13,10,741.5,2023-03-13 10:00:00
2023-03-13,11,741.0,2023-03-13 11:00:00
2023-03-13,12,740.5,2023-03-13 12:00:00
2023-03-13,13,740.0,2023-03-13 13:00:00
2023-03-13,14,740.0,2023-03-13 14:00:00
2023-03-13,15,739.5,2023-03-13 15:00:00
2023-03-13,16,739.0,2023-03-13 16:00:00
2023-03-13,17,739.0,2023-03-13 17:00:00
2023-03-13,18,738.5,2023-03-13 18:00:00
2023-03-13,19,738.0,2023-03-13 19:00:00
2023-03-13,20,737.5,2023-03-13 20:00:00
2023-03-13,21,737.0,2023-03-13 21:00:00
2023-03-13,22,737.0,2023-03-13 22:00:00
2023-03-13,23,736.5,2023-03-13 23:00:00
