section_no,ch4_percent,measurement_height_cm
2,0.28,0
4,0.33,0
6,0.45,0
8,0.38,0
10,0.52,0
12,0.41,0
14,0.35,0
16,0.48,0
18,0.39,0
20,0.44,0
22,0.36,0
24,0.51,0
26,0.43,0
28,0.37,0
30,0.55,0
32,0.41,0
34,0.46,0
36,0.39,0
38,0.34,0
40,1.85,0
42,2.4,0
44,3.15,0
46,4.8,0
48,6.2,0
50,5.45,0
52,3.1,0
54,1.95,0
56,0.88,0
58,0.52,0
60,0.44,0
62,0.39,0
64,0.48,0
66,0.41,0
68,0.36,0
70,0.53,0
72,0.45,0
74,0.38,0
76,0.43,0
78,0.5,0
80,0.37,0
82,0.44,0
84,0.39,0
86,0.47,0
88,0.41,0
90,0.35,0
92,0.52,0
94,0.44,0
96,0.38,0
98,0.48,0
100,0.42,0
102,0.36,0
104,0.45,0
106,0.39,0
108,0.53,0
110,0.41,0
